"TOA5","138k10-NL-T Reynolds North Toeslope","CR1000","36607","CR1000.Std.32.04","CPU:Reynolds_North_Toeslope.CR1","61168","Table2"
"TIMESTAMP","RECORD","BattV_Min","O2_Avg(1)","O2_Avg(2)","O2_Avg(3)","CO2_1_Avg","CO2_2_Avg","CO2_3_Avg","TDR310_1_VWC_Avg","TDR310_1_Temp_Avg","TDR310_1_Ka_Avg","TDR310_1_ECb_Avg","TDR310_1_ECw_Avg","TDR310_2_VWC_Avg","TDR310_2_Temp_Avg","TDR310_2_Ka_Avg","TDR310_2_ECb_Avg","TDR310_2_ECw_Avg","TDR310_3_VWC_Avg","TDR310_3_Temp_Avg","TDR310_3_Ka_Avg","TDR310_3_ECb_Avg","TDR310_3_ECw_Avg","O2_Std(1)","O2_Std(2)","O2_Std(3)","CO2_1_Std","CO2_2_Std","CO2_3_Std","TDR310_1_VWC_Std","TDR310_1_Temp_Std","TDR310_1_Ka_Std","TDR310_1_ECb_Std","TDR310_1_ECw_Std","TDR310_2_VWC_Std","TDR310_2_Temp_Std","TDR310_2_Ka_Std","TDR310_2_ECb_Std","TDR310_2_ECw_Std","TDR310_3_VWC_Std","TDR310_3_Temp_Std","TDR310_3_Ka_Std","TDR310_3_ECb_Std","TDR310_3_ECw_Std"
"2021-12-16 13:00:00",1343,12.69,38.2,39.9,39.22,1084.776,1563.236,2069.299,11.43,-0.4,6.498333,56.7,1831.8,7.164999,2.2,4.664999,37.45,1223.267,8.969999,5.4,5.42,65.85,2404.883,0,0,0,1.912624,2.166888,3.058,0.04932897,0,0.0128019,1.004988,32.42674,0.04769691,0,0.04769691,0.8645809,28.45984,0.07810279,0,0.03999996,1.137614,41.17932
"2021-12-16 14:00:00",1344,12.71,38.2,39.9,39.22,1085.208,1561.688,2069.767,11.41333,-0.4,6.496666,56.76667,1838.667,7.163333,2.201667,4.67,37.36666,1220.533,8.985,5.4,5.425,65.8,2405.017,0.002,0.002,0.002,1.692537,3.597478,3.139,0.04268757,0,0.01795053,0.9551032,32.81395,0.06046113,0.0128019,0.04582571,0.5763872,18.7958,0.07921519,0,0.04330123,1.16619,43.2005
"2021-12-16 15:00:00",1345,12.69,38.2,39.9,39.22,1081.615,1560.791,2068.325,11.42,-0.4,6.5,56.56667,1830.333,7.175,2.2,4.675,37.46667,1224.917,8.991666,5.4,5.43,65.68333,2401.667,0.002,0.002,0.002,1.982853,3.154813,3.27,0.04000015,0,0,0.9893882,35.06312,0.05664213,0,0.04699288,0.4988877,17.3025,0.08224317,0,0.04582571,1.1029,42.88421
"2021-12-16 16:00:00",1346,12.69,38.2,39.9,39.22,1080.232,1561.356,2069.815,11.43833,-0.4,6.498333,56.7,1829.583,7.153333,2.2,4.658333,37.56667,1226.583,8.971666,5.4,5.416667,65.73333,2401.083,0,0,0,2.106545,2.757815,3.813,0.05193494,0,0.0128019,0.842615,31.80686,0.05906676,0,0.04930061,0.6674995,22.06905,0.07323885,0,0.03726776,1.152774,43.22549
"2021-12-16 17:00:00",1347,12.67,38.2,39.9,39.22,1079.996,1561.474,2069.543,11.44167,-0.4,6.498333,56.9,1835.083,7.145,2.2,4.648333,37.5,1224.183,8.968333,5.4,5.416667,65.65,2396.767,0,0,0,2.086438,2.80935,3.046,0.05257286,0,0.0128019,0.8306624,31.24276,0.06171165,0,0.04997217,0.6708204,22.21298,0.07414353,0,0.03726776,1.092779,39.58087
"2021-12-16 18:00:00",1348,12.66,38.21,39.91,39.23,1080.893,1560.656,2068.738,11.44833,-0.4,6.5,56.86666,1832.133,7.163333,2.2,4.663333,37.31667,1218.867,8.983333,5.4,5.423333,65.86667,2407.483,0.001,0.001,0.001,2.145733,2.793815,3.056,0.0499724,0,0,0.9213517,34.12988,0.0481894,0,0.0481894,0.7186021,22.98004,0.07781775,0,0.04229522,1.040299,41.03514
"2021-12-16 19:00:00",1349,12.66,38.21,39.91,39.23,1079.764,1561.266,2069.662,11.44667,-0.4,6.496666,56.85,1832.133,7.168333,2.2,4.668333,37.31667,1219.933,8.978333,5.4,5.425,65.6,2396.433,0,0,0,2.182302,2.243112,3.517,0.05617446,0,0.01795053,0.726292,31.03142,0.04651757,0,0.04651757,0.8463976,27.65192,0.08183686,0,0.04330123,1.227463,46.22278
"2021-12-16 20:00:00",1350,12.66,38.21,39.91,39.23,1074.781,1560.447,2069.328,11.44667,-0.4,6.498333,56.7,1827.25,7.163333,2.2,4.663333,37.41667,1222.767,8.978333,5.4,5.423333,65.86667,2406.417,0,0,0,2.438563,2.960233,2.567,0.05312475,0,0.0128019,0.9712535,34.42897,0.0481894,0,0.0481894,0.4930066,16.03784,0.07977428,0,0.04229522,1.102522,41.68785
"2021-12-16 21:00:00",1351,12.66,38.21,39.91,39.23,1072.074,1558.984,2069.88,11.465,-0.4,6.498333,56.9,1828.6,7.153333,2.2,4.656666,37.41667,1221.817,8.991666,5.4,5.426666,65.76667,2404.683,0.001,0.001,0.001,1.991994,2.372872,3.275,0.05107199,0,0.0128019,0.7681146,30.56479,0.05617428,0,0.04955351,0.4930066,16.49797,0.07808501,0,0.04422162,1.216096,44.68762
"2021-12-16 22:00:00",1352,12.66,38.21,39.91,39.23,1070.142,1559.544,2069.262,11.485,-0.4,6.5,56.76667,1818.7,7.153333,2.2,4.659999,37.5,1224.717,8.985,5.4,5.423333,65.58334,2397.15,0.001,0.001,0.001,1.920529,2.693865,2.777,0.03570728,0,0,0.8034647,26.57963,0.06182406,0,0.04898975,0.6708204,22.36224,0.0770825,0,0.04229522,1.129774,42.83722
"2021-12-16 23:00:00",1353,12.66,38.21,39.91,39.23,1067.888,1561.255,2069.638,11.47833,-0.4,6.5,56.96667,1826.983,7.133333,2.2,4.643333,37.48333,1222.567,8.968333,5.4,5.413333,65.66666,2397.983,0,0,0,2.598727,2.173756,2.884,0.04119751,0,0,0.6046119,22.17768,0.06497856,0,0.04955352,0.7414325,24.70922,0.06950246,0,0.03399343,1.135292,41.64433
"2021-12-17 00:00:00",1354,12.66,38.21,39.91,39.23,1065.723,1561.283,2070.812,11.48833,-0.4,6.498333,56.8,1818.867,7.19,2.2,4.688333,37.38334,1222.817,8.971666,5.4,5.416667,65.9,2407.167,0,0,0,1.879678,2.210832,2.618,0.03693093,0,0.0128019,0.8124039,27.71189,0.03511884,0,0.03210224,0.5799904,19.30414,0.07323885,0,0.03726776,1.16476,42.95857
"2021-12-17 01:00:00",1355,12.66,38.21,39.92,39.23,1063.928,1560.905,2070.651,11.49667,-0.3916667,6.5,56.93333,1820.8,7.17,2.2,4.67,37.35,1220.683,9.005,5.4,5.434999,65.36667,2392,0.001,0.031,0.001,2.074708,2.703201,2.983,0.01795062,0.02763854,0,0.7930251,25.94661,0.05259908,0,0.04582571,0.6538349,21.57197,0.08046769,0,0.04769691,1.124969,40.70012
"2021-12-17 02:00:00",1356,12.66,38.21,39.92,39.23,1062.482,1560.704,2069.744,11.49667,-0.3983333,6.5,56.88334,1819.2,7.168333,2.2,4.67,37.55,1227.1,8.996667,5.4,5.433333,65.71667,2403.267,0.001,0.031,0.001,2.125138,2.366198,3.469,0.01795062,0.01280191,0,0.7547995,24.81182,0.04997217,0,0.04582571,0.5894913,19.96722,0.0835999,0,0.04714041,1.170351,41.69607
"2021-12-17 03:00:00",1357,12.65,38.21,39.97,39.23,1059.354,1560.037,2069.558,11.49833,-0.3933333,6.5,56.86666,1818.2,7.173333,2.2,4.675,37.51667,1226.233,8.973332,5.4,5.421667,65.36667,2387.717,0.001,0.095,0.001,2.161054,2.654624,3.22,0.01280196,0.02494438,0,0.8055364,26.1016,0.04784229,0,0.04330123,0.5913732,19.84638,0.07930281,0,0.04119731,1.124969,43.55039
"2021-12-17 04:00:00",1358,12.65,38.21,40.13,39.23,1059.068,1559.882,2070.67,11.5,-0.3933333,6.5,56.9,1818.8,7.171667,2.2,4.673333,37.61666,1229.417,8.983333,5.4,5.421667,65.68333,2400.75,0.001,0.111,0.001,2.073784,2.088137,3.601,0,0.02494438,0,0.8306624,26.5812,0.04861983,0,0.04422162,0.6605974,22.14444,0.07564566,0,0.04119731,1.161775,41.15363
"2021-12-17 05:00:00",1359,12.65,38.21,40.25,39.24,1057.573,1559.509,2071.025,11.50167,-0.3916667,6.5,56.9,1818.333,7.153333,2.2,4.658333,37.53333,1225.4,8.976666,5.4,5.415,65.58334,2396.05,0.001,0.037,0.001,1.858753,2.916247,3.075,0.01280196,0.02763854,0,0.7681146,24.77947,0.06182406,0,0.04930061,0.5906681,19.43896,0.06920206,0,0.03570711,1.129774,40.94526
"2021-12-17 06:00:00",1360,12.65,38.22,40.26,39.24,1059.464,1559.548,2071.363,11.50167,-0.3716666,6.5,57.15,1826.333,7.148333,2.2,4.65,37.58333,1226.883,8.971666,5.4,5.42,65.58334,2395.15,0.001,0.002,0.001,1.755931,2.39091,3.083,0.01280196,0.04506168,0,0.726292,23.6112,0.05913728,0,0.04999995,0.4930066,16.54397,0.07765695,0,0.03999996,1.069138,40.50755
